artist,track,track_id,flag
Abderraouf Ouertani,Conte d'un luth amoureux,0ZsnBdxkplFg588nv3eoaw,0
Abderraouf Ouertani,Conte d'un luth désespéré,7gyX9DPjwCsa86CQstx23H,0
Abderraouf Ouertani,De Tunis à Kélibia,7cxTlBGiHRMFI85SUdcPLH,1
Abderraouf Ouertani,"La médina perdue, Tunis",1DIVnH0sYyavbqgCimd9aj,1
Abderraouf Ouertani,"La médina retrouvée, le Kef",0B6q5qTiHIyGsBoonXMr49,1
Abderraouf Ouertani,Lamentations bipolaires,3j0obpF6E4yxU6fUXoQ0xu,1
Abderraouf Ouertani,Les yeux de T.,6yYi3vLy85Jw85VcIhyVVd,1
Abderraouf Ouertani,Lettre à Oumayma no.1,2bvo9b9tmsbkQoOyt7U0d1,1
Abderraouf Ouertani,Lettre à Oumayma no.3,6ne57TGAJHoiYLgJ0jeTAb,1
Abderraouf Ouertani,Lettres de T.,6UpGvdTKlEjq7hDx7rBC27,1
Abderraouf Ouertani,"Suite No. 3 pour oud et orgue ""la pénultième femme"": 1er mouvement",4zFIacX0qFZPBZzpwSloE0,1
Abderraouf Ouertani,"Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 1",16hWVdx6iX0J4MDxdKaILx,1
Abderraouf Ouertani,"Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 3",5PVAb9jYNG7vtSipEGzhKx,1
Abderraouf Ouertani,"Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 4",1KptyH52XeZOAUl9mkmNYO,1
Abderraouf Ouertani,"Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 5",0fiGgtqEaXFoCyvReHSl2r,1
Abderraouf Ouertani,Vague souvenir,3syPoq6nIxCpDDiajszzHI,1
Agitation Free,First Communication,5CevbpxOgTUNsPuJUTl6RZ,1
Agitation Free,In the Silence of the Morning Sunrise,5p5vY3bPxZWvbtNwaw4RsU,2
Agitation Free,Nomads,58KHyE0oq60fqeLnsZBWTk,1
Al Di Meola,Brave New World,6Mb7zB6hyARIHhkPpPLlIR,1
Al Di Meola,Coral,4tvfngzEChy1HWMpcI2SE3,3
