track_id,artist,track,album_id,imgUrl
4QmaPQhJOBJ486u2JpZpY0,Napoli Centrale,'A gente 'e bucciano - A,0Y8S719ucex5x5JHj7ivQW,https://i.scdn.co/image/ab67616d00004851ed434627bbf6e0d27fdd97a6
3rQAnI7nIAXNFcK4jYIAc7,13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version],2afQ7u8n1CzNBAHjl6OQCG,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce
75M1vS0AvZtLXbKLBllbvn,13th Floor Elevators,Slip Inside This House - Mono LP Version,5RQNjPQbqY82MBTwaQp3ik,https://i.scdn.co/image/ab67616d000048510b86645a93fbe6593c4138dc
4GVRHAwABAV0v63YX9Go0p,13th Floor Elevators,Slip Inside This House - Stereo LP Version,5RQNjPQbqY82MBTwaQp3ik,https://i.scdn.co/image/ab67616d000048510b86645a93fbe6593c4138dc
2WazJsXu1aDQKR88CMt41T,13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version),2afQ7u8n1CzNBAHjl6OQCG,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce
34miSNKQ0xN7EG8zzzaFzI,13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),2afQ7u8n1CzNBAHjl6OQCG,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce
2AcKnehihCFvnzXtr89qxZ,35007,0618,2MtlzWmDz3ArhZIkV97MFa,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9
58xdZzSTNgap8a7CEckA9b,35007,2225,2MtlzWmDz3ArhZIkV97MFa,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9
3KmM9GEunX8IGyup6rne2z,35007,Evaporate,2fVeY5ePxT4SQDvL18Sfye,https://i.scdn.co/image/ab67616d00004851192985134fff2113c333dc82
534muzSD9kzdBx88meLIIn,35007,Herd,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
534muzSD9kzdBx88meLIIn,35007,Herd,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
2JITkpLYlbmPy8mxmtQ1IV,35007,Soulmachine,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
24ENYWfpbnIOGKDW11pXCJ,35007,The Elephant Song,341icYyO50W0ImXNyo3fdw,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612
5HOyIyLZYjVIM34gH5hNVO,35007,Vein,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
7vjaYUpr3xCbOMrJHTX6MF,35007,Water,341icYyO50W0ImXNyo3fdw,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612
4XOYQUsG8n48Q7HoTKahOX,Abderraouf Ouertani,"D'un crépuscule, l'autre",0cCrNAvXZNoi4EDGPZgE5n,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad
5ePPLtJGo4nSQ4doR5So2K,Abderraouf Ouertani,Mon père,0cCrNAvXZNoi4EDGPZgE5n,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad
0th5Fm05MRhxcxInc9vbPP,Ablaye Cissoko,Bamaya,7wcjLxePOKYRJFIP60kOKS,https://i.scdn.co/image/ab67616d000048516c1eb09a17fff42fcdaaad94
