artist,genres_
13th Floor Elevators,Acid Rock/Protopunk/Psychedelic Rock
35007,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
Abderraouf Ouertani,Oud
Aerosmith,Album Rock/Classic Rock/Hard Rock/Rock
Agitation Free,Krautrock
Al Di Meola,Flamenco Guitar/Jazz Fusion/Jazz Guitar
Allah-Las,Indie Surf/Neo-psychedelic/Noise Pop
Allman Brothers Band,Album Rock/Blues Rock/Classic Rock/Country Rock/Folk Rock/Hard Rock/Jam Band/Mellow Gold/Rock/Singer-songwriter/Soft Rock/Southern Rock
Alphataurus,Italian Modern Prog/Italian Progressive Rock/Synth Prog
Anouar Brahem,Arab Folk/Arabic Jazz/Ecm-style Jazz/Oud
Anvil,Canadian Metal/Glam Metal/Hard Rock/Metal/Speed Metal/Thrash Metal
Aphrodite's Child,Canterbury Scene/Greek Psychedelic Rock/Progressive Rock/Symphonic Rock
Aram Khachaturian,Caucasian Classical/Classical/Early Modern Classical/Russian Modern Classical
Archie Shepp,Free Jazz/Jazz Saxophone
Area,Avant-prog/Italian Progressive Rock
Arlo Guthrie,Country Rock/Folk/Folk Rock/Singer-songwriter
Arti & Mestieri,Italian Progressive Rock
Arzachel,Canterbury Scene/Psychedelic Blues-rock/Psychedelic Rock
Aziz Sahmaoui,Gnawa/Reggae Maghreb
B.B. King,Blues/Blues Rock/Classic Rock/Electric Blues/Jazz Blues/Soul/Soul Blues/Traditional Blues
Bad Company,Album Rock/Classic Rock/Country Rock/Glam Metal/Hard Rock/Mellow Gold/Rock/Singer-songwriter/Soft Rock/Southern Rock
Banco Del Mutuo Soccorso,Italian Progressive Rock/Progressive Rock
Beggars Opera,Canterbury Scene/Progressive Rock
Bill Bruford's Earthworks,Jazz Drums/Jazz Fusion/Progressive Rock
Bill Frisell,Jazz Guitar
Billy Cobham,Jazz/Jazz Drums/Jazz Funk/Jazz Fusion
Black Sabbath,Album Rock/Alternative Metal/Birmingham Metal/Classic Rock/Hard Rock/Metal/Rock/Stoner Rock/Uk Doom Metal
Blind Faith,Blues/Blues Rock/Classic Rock/Country Rock/Electric Blues/Folk Rock/Mellow Gold/Roots Rock/Singer-songwriter/Southern Rock/Supergroup/Symphonic Rock
"Blood, Sweat & Tears",Album Rock/Blues Rock/Classic Rock/Country Rock/Folk/Folk Rock/Jazz Rock/Mellow Gold/Singer-songwriter/Soft Rock
Blue Öyster Cult,Album Rock/Classic Rock/Glam Metal/Hard Rock/Progressive Rock/Rock
Bob Dylan,Classic Rock/Country Rock/Folk/Folk Rock/Rock/Roots Rock/Singer-songwriter
Bobby Keys,
Bobby Timmons Trio,Hard Bop/Jazz Trio
Brad Mehldau,Contemporary Jazz/Contemporary Post-bop/Jazz/Jazz Piano/Modern Jazz Piano
Brand X,British Jazz/Instrumental Rock/Jazz Fusion/Jazz Rock/Progressive Rock/Symphonic Rock
Brian Eno,Abstract/Ambient/Art Pop/Art Rock/Compositional Ambient/Experimental/Experimental Ambient/Fourth World/Glam Rock/Minimalism/Singer-songwriter
Buena Vista Social Club,Latin Jazz/Musica Tradicional Cubana/World
Buffalo Springfield,Album Rock/Blues Rock/Classic Rock/Country Rock/Folk/Folk Rock/Mellow Gold/Psychedelic Rock/Rock/Soft Rock/Southern Rock
CAN,Experimental/Experimental Rock/Krautrock/Neo-psychedelic/No Wave/Noise Pop/Post-punk/Space Rock/Uk Post-punk
