artist,count
Franco Battiato,376
The Rolling Stones,325
King Crimson,240
Premiata Forneria Marconi,188
Pearl Jam,161
Yes,130
Banco Del Mutuo Soccorso,99
Fleetwood Mac,97
The Brian Jonestown Massacre,91
John Coltrane,90
Kraan,88
The Beatles,79
René Aubry,75
Frank Zappa,73
Grateful Dead,69
Gianna Nannini,67
Rush,65
Magma,63
Steely Dan,62
Claude Debussy,59
Maurice Ravel,56
Thelonious Monk,55
Pink Floyd,54
J.J. Cale,52
Toufic Farroukh,49
Deep Purple,49
Le Orme,48
Talking Heads,46
Miles Davis,46
Jethro Tull,46
Led Zeppelin,46
Rainbow,42
Dissidenten,41
Mick Jagger,40
TOOL,39
Camille Saint-Saëns,38
Dream Theater,37
Golden Earring,37
The Who,36
Creedence Clearwater Revival,35
The Kinks,35
Radiohead,35
The Doors,34
Jimi Hendrix,34
Mahavishnu Orchestra,33
Brad Mehldau,31
Camel,31
Judas Priest,31
Myrath,30
Rahsaan Roland Kirk,29
Logos,29
Genesis,29
Ten Years After,29
Masayoshi Takanaka,28
Tangerine Dream,28
Arlo Guthrie,28
Allah-Las,28
Arti & Mestieri,27
Leo Kottke,27
Jasper van't Hofs Pili Pili,27
Area,26
PJ Harvey,26
The Dandy Warhols,26
Blue Öyster Cult,26
Eddie Vedder,26
Hamid Baroudi,25
Sun Ra,25
Joachim Kühn,25
Orphaned Land,25
Zupfgeigenhansel,25
Traveling Wilburys,24
Zucchero,24
Koenjihyakkei,24
Korekyojinn,23
"Emerson, Lake & Palmer",23
Free,23
La coscienza di Zeno,23
Curved Air,23
Il Balletto di Bronzo,23
Traffic,23
CAN,23
Ozric Tentacles,23
Pino Daniele,22
Al Di Meola,22
Arnold Schoenberg,22
Renaud Garcia-Fons,21
Focus,21
The Beach Boys,20
Thelonious Monk Quartet,20
Victor Jara,20
Robert Fripp,20
Ruins,20
Bob Dylan,19
T. Rex,19
Paul Simon,19
Soft Machine,19
Jimmy Smith,19
Jean-Luc Ponty,19
Elliott Smith,19
John Hiatt,19
Abderraouf Ouertani,18
Ivan Graziani,18
Yusef Lateef,18
Bobby Keys,18
ZZ Top,18
Cream,18
John Mayall,18
Claudio Lolli,18
Vangelis,18
Leon Russell,18
Archie Shepp,17
Umphrey's McGee,17
Philip Glass,17
Embryo,17
John Lennon,16
Terry Riley,16
Anvil,16
Bill Frisell,16
George Harrison,16
Igor Stravinsky,15
Buffalo Springfield,15
P.F.M.,15
Nikolai Rimsky-Korsakov,15
Keith Richards,15
Anton Webern,15
Aerosmith,15
Black Sabbath,15
Salif Keita,14
Kaleidoscope,14
Aram Khachaturian,14
Peter Green,14
Agitation Free,14
Lee Morgan,14
Ultimate Spinach,14
Horace Silver,14
Herbie Hancock,13
Ronnie Wood,13
Dire Straits,13
Brian Eno,13
The Byrds,13
Anouar Brahem,13
"Blood, Sweat & Tears",13
John Abercrombie,12
Psychic Ills,12
Strawberry Alarm Clock,12
Tom Waits,12
Neil Young,12
Julian's Treatment,12
The Pretty Things,12
Jeff Beck,12
Eric Clapton,11
Gustav Holst,11
Hank Mobley,11
Quella Vecchia Locanda,11
Oscar Peterson Trio,11
Wayne Shorter,11
Van Der Graaf Generator,11
Marcus Miller,11
Cressida,10
Duke Ellington,10
Bobby Timmons Trio,10
Climax Blues Band,10
Weather Report,10
The Yardbirds,10
Howlin' Wolf,10
Bill Bruford's Earthworks,10
UFO,10
John McLaughlin,9
Tom Petty and the Heartbreakers,9
Jimmy Page,9
The Mothers Of Invention,9
Jackson Browne,9
"Crosby, Stills, Nash & Young",9
Aphrodite's Child,9
The Alan Parsons Project,9
Dün,9
Allman Brothers Band,9
Rabih Abou-Khalil,9
Steve Reich,9
The Police,9
Gong,9
Hatfield & The North,9
Grobschnitt,9
John Paul Jones,9
Jean-Michel Jarre,9
Kikagaku Moyo,9
Donald Fagen,9
Jerry Garcia,9
Quicksilver Messenger Service,8
Maxophone,8
Museo Rosenbach,8
Cheikha Rimitti,8
New Trolls,8
Simon & Garfunkel,8
35007,8
Paul McCartney,8
Eric Dolphy,8
Wooden Shjips,8
Ornette Coleman,8
Zao,8
Jefferson Airplane,8
Nicky Hopkins,8
Iron Maiden,8
Bad Company,8
Jerry Garcia Band,8
Nina Simone,7
King Gizzard & The Lizard Wizard,7
Wishbone Ash,7
Rick Wakeman,7
"Crosby, Stills & Nash",7
Alphataurus,7
Greta Van Fleet,7
Captain Beefheart & His Magic Band,7
Santana,7
Stephen Stills,7
Napoli Centrale,7
Tinariwen,7
Brand X,7
The Zodiac,6
Blind Faith,6
Irmin Schmidt,6
Tommy Bolin,6
Cannonball Adderley,6
The Velvet Underground,6
Eloy,6
The Flock,6
Djamel Laroussi,6
Locanda delle fate,6
Deodato,6
Van Halen,6
McCoy Tyner,6
Triumvirat,6
Merl Saunders,6
Shocking Blue,6
The Band,6
Magic Shoppe,6
Van Morrison,6
Osanna,6
Pharoah Sanders,6
Ennio Morricone,6
Natural Child,6
Oliver Nelson,6
Janko Nilovic,6
Xaal,5
Chuck Berry,5
Television,5
Tom Petty,5
James Gang,5
Gentle Giant,5
Grant Green,5
Donovan,5
Iron Butterfly,5
Arzachel,5
Love,5
Buena Vista Social Club,5
Billy Cobham,5
Jaco Pastorius,5
Herbie Mann,5
Jim Morrison,5
The Paul Butterfield Blues Band,5
Sonic Youth,5
Spirit,5
13th Floor Elevators,5
Il Rovescio Della Medaglia,5
Erik Satie,5
Beggars Opera,5
Patti Smith,5
Aziz Sahmaoui,5
Mick Taylor,5
Gábor Szabó,5
East Of Eden,4
B.B. King,4
Little Feat,4
Chicken Shack,4
Porcupine Tree,4
Paco de Lucía,4
