artist,count
Franco Battiato,420
The Rolling Stones,325
King Crimson,240
Premiata Forneria Marconi,188
Pearl Jam,161
Yes,142
Banco Del Mutuo Soccorso,99
Fleetwood Mac,97
The Brian Jonestown Massacre,91
John Coltrane,90
Kraan,88
Rush,87
The Beatles,79
René Aubry,75
Myrath,74
Frank Zappa,73
Orphaned Land,72
Grateful Dead,69
Gianna Nannini,67
Magma,63
Steely Dan,62
Claude Debussy,59
Judas Priest,57
Maurice Ravel,56
Thelonious Monk,55
Pink Floyd,54
J.J. Cale,52
Deep Purple,49
Toufic Farroukh,49
Le Orme,48
Jethro Tull,46
Led Zeppelin,46
Jack DeJohnette,46
Talking Heads,46
Miles Davis,46
Rainbow,42
Howlin' Wolf,42
Dissidenten,41
Mick Jagger,40
TOOL,39
Camille Saint-Saëns,38
Epica,3
Dream Theater,37
Golden Earring,37
The Who,36
Radiohead,35
The Kinks,35
Creedence Clearwater Revival,35
The Doors,34
Jimi Hendrix,34
Mahavishnu Orchestra,33
Steve Reich,32
Erik Satie,32
Camel,31
György Ligeti,31
Brad Mehldau,31
Genesis,29
Rahsaan Roland Kirk,29
Duke Ellington,29
Logos,29
Ten Years After,29
Rabih Abou-Khalil,28
Masayoshi Takanaka,28
Arlo Guthrie,28
Allah-Las,28
Tangerine Dream,28
Jasper van't Hofs Pili Pili,27
Leo Kottke,27
Arti & Mestieri,27
Area,26
Eddie Vedder,26
The Dandy Warhols,26
Blue Öyster Cult,26
PJ Harvey,26
Sun Ra,25
Joachim Kühn,25
Hamid Baroudi,25
Zupfgeigenhansel,25
Zucchero,24
Traveling Wilburys,24
Koenjihyakkei,24
Jackson Browne,24
Il Balletto di Bronzo,23
"Emerson, Lake & Palmer",23
La coscienza di Zeno,23
Ozric Tentacles,23
Korekyojinn,23
CAN,23
Curved Air,23
Free,23
Traffic,23
Arnold Schoenberg,22
Terry Riley,22
Pino Daniele,22
Al Di Meola,22
John McLaughlin,22
Renaud Garcia-Fons,21
Focus,21
Thelonious Monk Quartet,20
Eric Dolphy,20
Victor Jara,20
Robert Fripp,20
The Beach Boys,20
Ruins,20
Climax Blues Band,20
T. Rex,1
Soft Machine,19
Jimmy Smith,19
Elliott Smith,19
Paul Simon,19
Oscar Peterson Trio,19
Jean-Luc Ponty,19
Bob Dylan,19
John Hiatt,19
Vangelis,18
Bobby Keys,18
Yusef Lateef,18
Leon Russell,18
Cream,18
Abderraouf Ouertani,18
Ivan Graziani,1
John Mayall,18
Claudio Lolli,18
ZZ Top,18
Embryo,17
Umphrey's McGee,17
Archie Shepp,17
Philip Glass,17
Bobby Timmons Trio,16
Bill Frisell,16
George Harrison,16
John Lennon,16
Anvil,1
Oliver Nelson,15
P.F.M.,15
Igor Stravinsky,15
Buffalo Springfield,15
Nikolai Rimsky-Korsakov,15
Keith Richards,15
Aerosmith,15
Anton Webern,15
Bill Evans Trio,15
Black Sabbath,15
Salif Keita,14
Kaleidoscope,14
Lee Morgan,14
Peter Green,14
Karlheinz Stockhausen,14
Ultimate Spinach,14
Aram Khachaturian,14
Agitation Free,14
Horace Silver,14
The Byrds,13
Ronnie Wood,13
Ralph Towner,13
"Blood, Sweat & Tears",13
Anouar Brahem,13
Dire Straits,13
Brian Eno,13
Herbie Hancock,13
Jeff Beck,12
The Pretty Things,12
"Crosby, Stills, Nash & Young",12
Julian's Treatment,12
Neil Young,12
Tom Waits,12
Keith Jarrett,12
Psychic Ills,1
John Abercrombie,12
Strawberry Alarm Clock,12
Hank Mobley,11
Gustav Holst,11
Van Der Graaf Generator,11
Eric Clapton,11
Marcus Miller,11
Wayne Shorter,11
Quella Vecchia Locanda,11
Cressida,10
Weather Report,10
The Yardbirds,10
UFO,10
Bill Bruford's Earthworks,10
Allman Brothers Band,9
Aphrodite's Child,9
Kikagaku Moyo,9
John Paul Jones,9
The Alan Parsons Project,9
Hatfield & The North,9
Jean-Michel Jarre,9
Jimmy Page,9
Jerry Garcia,9
Tom Petty and the Heartbreakers,9
Donald Fagen,9
The Mothers Of Invention,9
Dün,9
Gong,9
Grobschnitt,9
The Police,9
Zao,8
Iron Maiden,8
Jerry Garcia Band,8
Jefferson Airplane,8
Wooden Shjips,8
Bad Company,8
Paul McCartney,8
Maxophone,8
35007,8
Quicksilver Messenger Service,8
Cheikha Rimitti,8
Ornette Coleman,8
Simon & Garfunkel,8
Museo Rosenbach,8
New Trolls,8
Nicky Hopkins,8
"Crosby, Stills & Nash",7
Alphataurus,7
King Gizzard & The Lizard Wizard,7
Wishbone Ash,7
Rick Wakeman,7
Greta Van Fleet,7
Santana,7
Tinariwen,7
Brand X,7
Nina Simone,7
Captain Beefheart & His Magic Band,7
Stephen Stills,7
Napoli Centrale,7
Locanda delle fate,6
Tommy Bolin,6
Blind Faith,6
McCoy Tyner,6
Van Halen,6
The Band,6
The Velvet Underground,6
Djamel Laroussi,6
Cannonball Adderley,6
Janko Nilovic,6
Ennio Morricone,6
The Flock,6
Van Morrison,6
Magic Shoppe,6
Natural Child,6
Triumvirat,6
Pharoah Sanders,6
Shocking Blue,6
Irmin Schmidt,6
Merl Saunders,6
The Zodiac,6
Osanna,6
Deodato,6
Eloy,6
Gábor Szabó,5
Television,5
Xaal,5
Arzachel,5
Donovan,5
Sonic Youth,5
Tom Petty,5
The Paul Butterfield Blues Band,5
Herbie Mann,5
Love,5
James Gang,5
Iron Butterfly,5
Gentle Giant,5
Jaco Pastorius,5
Grant Green,5
Jim Morrison,5
13th Floor Elevators,5
Mick Taylor,5
Billy Cobham,5
Spirit,5
Buena Vista Social Club,5
Patti Smith,5
Aziz Sahmaoui,5
Il Rovescio Della Medaglia,5
Chuck Berry,5
Beggars Opera,5
Little Feat,4
B.B. King,4
Porcupine Tree,4
East Of Eden,4
Chicken Shack,4
Paco de Lucía,4
