artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,maiuscule
Grobschnitt,Morning Song - Remastered 2015,Ballermann (Remastered 2015),Album,2015-05-08,"Hello My Dear Friends - Remastered 2015 (01:31)/Sahara - Remastered 2015 (04:19)/Nickel-Odeon - Remastered 2015 (09:14)/Drummer's Dream - Remastered 2015 (06:11)/Morning Song - Remastered 2015 (05:43)/Magic Train - Remastered 2015 (13:31)/Solar Music, Pt. 1 - Remastered 2015 (17:39)/Solar Music, Pt. 2 - Remastered 2015 (15:57)/Sahara - Alternate Version / Remastered 2015 (04:50",https://i.scdn.co/image/ab67616d00001e029f72d6bc5e719169f6dc1b6d,Krautrock/Progressive Rock/Space Rock/Art Rock/Electronic Rock,Grobschnitt,G
Franco Battiato,La Stagione Dell'Amore - Remastered 2008,Orizzonti Perduti (2008 Remastered Edition),Album,1983,La Stagione Dell'Amore - Remastered 2008 (03:49)/Tramonto Occidentale - 2008 Remaster (03:15)/Zone Depresse - 2008 Remaster (03:33)/Un'Altra Vita - Remastered (03:45)/Mal D'Africa - 2008 Remaster (03:56)/La Musica È Stanca - 2008 Remaster (03:55)/Gente In Progresso - 2008 Remaster (03:33)/Campane Tibetane - 2008 Remaster (03:23,https://i.scdn.co/image/ab67616d00001e025eb1165c5e8c210613ab8631,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Zucchero,L'Amore E' nell'Aria,Fly,Album,2006-01-01,Bacco Perbacco (03:57)/Un Kilo (03:32)/Occhi (03:39)/Quanti Anni Ho (04:02)/Cuba Libre (03:33)/E' Delicato (03:32)/L'Amore E' nell'Aria (03:36)/Pronto (03:59)/Let It Shine (04:32)/Troppa Fedelta' (03:58)/Nel Cosi' Blu (04:28)/Flying Away (Occhi) (03:38)/Shine (04:33,https://i.scdn.co/image/ab67616d00001e02e63442a5659567de2c3e4c6a,Italo Dance/Italian Singer-songwriter,Zucchero,Z
Frank Zappa,Outside Now Again,Boulez Conducts Zappa: The Perfect Stranger,Album,1984-08-23,The Perfect Stranger (12:45)/Naval Aviation In Art? (02:45)/The Girl In The Magnesium Dress (03:13)/Dupree's Paradise (07:54)/Love Story (00:58)/Outside Now Again (04:05)/Jonestown (05:29,https://i.scdn.co/image/ab67616d00001e02e96252c5b8a10199487df197,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock,"Zappa, Frank",Z
Koenjihyakkei,Dhorimviskha,Dhorimviskha,Album,2018-08-31,Vleztemtraiv (10:18)/Levhorm (09:11)/Zjindhaiq (07:31)/Phlessttighas (06:21)/Djebelaki Zomn (09:49)/Palbeth Tissilaq (06:08)/Dhorimviskha (11:47,https://i.scdn.co/image/ab67616d00001e029ff16a72765885c952c21a2e,Avant-garde/Progressive Rock/Art Rock/Krautrock,Koenjihyakkei,K
Franco Battiato,La Musica Muore (Camisasca / Bmg Ricordi) 1975,La Convenzione,Album,2002,"La Convenzione (Frankenstein - Battiato/Bmg Ricordi), 1972 (03:36)/La Paranoia (Frankenstein - Battiato / Bmg Ricordi) 1972 (04:07)/Stranizza Dammuri (Battiato / Emi Music Publishing) 1975 (03:23)/La Musica Muore (Camisasca / Bmg Ricordi) 1975 (03:07)/Himalaya (Camisasca / Bmg Ricordi) 1975 (04:58)/Il Regno Delleden - 1° Parte (Camisasca / Bmg Ricordi) 1974 (03:49)/Il Regno Delleden - 2° Parte (Camisasca / Bmg Ricordi) 1974 (05:50)/Galantuomo (Camisasca / Bmg Ricordi) 1974 (04:41)/Crazy Horse (Zoccheddu / Bmg Ricordi) 1972 (03:46)/La Convenzione (Frankenstain - Battiato / Bmg Ricordi) (03:10",https://i.scdn.co/image/ab67616d00001e027d77975fa2955d92f90dacb5,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
The Who,Love Ain't For Keeping,Who's Next (Deluxe Edition),Album,1971-08-14,Baba O'Riley (05:00)/Bargain (05:33)/Love Ain't For Keeping (02:10)/My Wife (03:33)/The Song Is Over (06:16)/Getting In Tune (04:48)/Going Mobile (03:42)/Behind Blue Eyes (03:41)/Won't Get Fooled Again - Original Album Version (08:31)/Baby Don't You Do It - New York Record Plant Session Full Version (08:20)/Getting In Tune - New York Record Plant Session 2003 Remix (06:33)/Pure And Easy - New York Record Plant Session 2003 Remix (04:31)/Love Ain't For Keeping - New York Record Plant Session 2003 Remix (04:03)/Behind Blue Eyes - New York Record Plant Session 2003 Remix (03:28)/Won't Get Fooled Again - New York Record Plant Session 2003 Remix (08:48)/Love Ain't For Keeping - Live (02:57)/Pure And Easy - Live (06:00)/Young Man Blues - Live (04:47)/Time Is Passing - Live (03:59)/Behind Blue Eyes - Live (04:49)/I Don't Even Know Myself - Live (05:42)/Too Much Of Anything - Live (04:20)/Getting In Tune - Live (06:42)/Bargain - Live (05:46)/Water - Live (08:19)/My Generation - Live (02:58)/(I'm A) Road Runner - Live (03:14)/Naked Eye - Live (06:21)/Won't Get Fooled Again - Young Vic Live Mix (08:50,https://i.scdn.co/image/ab67616d00001e02fe24dcd263c08c6dd84b6e8c,Classic Rock/Rock,"Who, The",W
PJ Harvey,Down By The Water,To Bring You My Love,Album,1995-01-01,To Bring You My Love (05:31)/Meet Ze Monsta (03:29)/Working For The Man (04:45)/C'mon Billy (02:47)/Teclo (04:56)/Long Snake Moan (05:15)/Down By The Water (03:14)/I Think I'm A Mother (04:00)/Send His Love To Me (04:20)/The Dancer (04:05,https://i.scdn.co/image/ab67616d00001e026ea4af8437d78b607f30c8f0,Art Pop/Singer-songwriter,"Harvey, PJ",H
Franco Battiato,Estabas Conmigo,Ábrete Sésamo,Album,2013-01-01,Un Irresistible Reclamo (03:34)/Mi Testamento (03:35)/Cuando Era Joven (03:44)/Estabas Conmigo (03:59)/Pasacalle (03:24)/El Polvo Del Rebaño (03:59)/Pliégate Junco (03:20)/Tráeme La Luz (03:43)/La Serpiente (03:36)/Ábrete Sésamo (03:34,https://i.scdn.co/image/ab67616d00001e02517651f08e8681f3a181195a,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Magic Shoppe,Haunted Hollywood,Reverberation,Album,2011-04-19,All the Way (03:44)/Dead Poplar (04:20)/Something's Wrong (02:38)/Gallery (04:27)/Time to Go (04:10)/Transparency (03:32)/Haunted Hollywood (02:47)/Burn Right Through (01:48,https://i.scdn.co/image/ab67616d00001e02f8c841a7fc969023543833b2,Psychedelic Rock/Acid Rock/Baroque Pop/Psychedelic Pop/Proto-punk,Magic Shoppe,M
